feature,importance
1er lot_1083,1.0934459249879046e-06
1er lot_210,1.0668811351275667e-06
1er lot_222,1.0089053677727275e-06
1er lot_183,1.0042250939516012e-06
1er lot_1850,9.746719249007162e-07
1er lot_1808,9.655137085782566e-07
1er lot_8047,9.34496329216124e-07
1er lot_400,9.146330699871365e-07
1er lot_1454,7.522711816453912e-07
1er lot_3805,7.352140047879308e-07
1er lot_253,7.05437418700744e-07
1er lot_389,6.430595665219492e-07
1er lot_574,6.128168326297996e-07
1er lot_1102,5.826098780073732e-07
1er lot_242,5.782097775888429e-07
1er lot_247,5.680124580082562e-07
1er lot_1505,5.344501289668997e-07
1er lot_282,4.6625481336486857e-07
1er lot_2062,4.624012541544047e-07
1er lot_1082,4.5421000610220883e-07
1er lot_1232,4.418650072387564e-07
1er lot_890,4.4039604536844176e-07
1er lot_20186,3.978089549456068e-07
1er lot_1032,3.137181199774783e-07
Date mutation_18/08/2020,3.13358419864381e-07
1er lot_1433,3.0367793702331523e-07
1er lot_1034,2.8500257557723807e-07
1er lot_1195,2.3614994748610189e-07
1er lot_620,2.2826000196667634e-07
1er lot_334,2.2097868193014185e-07
1er lot_1196,2.2014301261288843e-07
1er lot_120,2.1164369633396478e-07
1er lot_1063,2.1047238119947783e-07
1er lot_1088,1.978589484733836e-07
1er lot_1182,1.8957079964261969e-07
1er lot_447,1.6369062591771072e-07
1er lot_2377,1.5449538700218408e-07
1er lot_414,1.4183344923119315e-07
1er lot_2476,1.415944399486269e-07
1er lot_278,1.313504044204045e-07
1er lot_1028,1.2140834814575657e-07
1er lot_159,1.1060242989794347e-07
1er lot_468,1.0397612678536418e-07
1er lot_1006,8.930241209608423e-08
1er lot_289,8.056531212801055e-08
1er lot_219,7.76584721052394e-08
1er lot_480,7.047715432229676e-08
1er lot_2481,6.394007625594314e-08
Date mutation_18/10/2020,6.112491022679515e-08
1er lot_407,5.9355058378593535e-08
1er lot_77,5.4498700980269404e-08
1er lot_306,5.030971451707973e-08
1er lot_411,4.806627402593347e-08
1er lot_1375,4.571120638451294e-08
1er lot_166,3.6705452101566386e-08
1er lot_1010,3.289154054764855e-08
1er lot_1193,3.106387218006054e-08
1er lot_235,2.8646669587556638e-08
1er lot_387,2.3704859171479187e-08
1er lot_1097,2.3507896741495e-08
Type de voie_GR,2.0046708009759825e-08
1er lot_1141,1.6201108193616586e-08
1er lot_261,1.40312776184983e-08
1er lot_332,1.377791559599719e-08
1er lot_638,5.47610789868146e-09
1er lot_286,4.984867997149845e-09
1er lot_1227,3.4205570530057906e-09
1er lot_2635,3.3524479163432613e-09
1er lot_6034,2.5346567521512406e-09
1er lot_241,1.896321834346598e-09
1er lot_303,2.0551529861979e-10
1er lot_199,6.145660241532016e-11
1er lot_224,3.0351966494419786e-11
1er lot_254,7.279017852648301e-12
1er lot_643,2.6829919091884624e-17
1er lot_644,1.242655147242919e-17
1er lot_640,5.2309443456358385e-18
1er lot_639,1.4086473264644295e-18
1er lot_1324,3.7318087690906246e-20
1er lot_1584,0.0
1er lot_1580,0.0
1er lot_1575,0.0
1er lot_1563,0.0
1er lot_156,0.0
1er lot_1552,0.0
1er lot_1540,0.0
1er lot_1537,0.0
1er lot_1534,0.0
1er lot_1532,0.0
1er lot_1521,0.0
1er lot_1511,0.0
1er lot_1284,0.0
1er lot_1276,0.0
1er lot_1220,0.0
1er lot_1219,0.0
1er lot_1217,0.0
1er lot_1216,0.0
1er lot_1215,0.0
1er lot_1614,0.0
1er lot_1612,0.0
1er lot_1611,0.0
1er lot_161,0.0
1er lot_1609,0.0
1er lot_160,0.0
1er lot_15E,0.0
1er lot_15C,0.0
1er lot_1591,0.0
1er lot_1672,0.0
1er lot_1640,0.0
1er lot_1625,0.0
1er lot_1619,0.0
1er lot_1617,0.0
1er lot_1236,0.0
1er lot_1226,0.0
1er lot_1224,0.0
1er lot_1223,0.0
1er lot_1222,0.0
1er lot_1221,0.0
1er lot_181,0.0
1er lot_178,0.0
1er lot_1769,0.0
1er lot_1752,0.0
1er lot_175,0.0
1er lot_173,0.0
1er lot_1727,0.0
1er lot_1722,0.0
1er lot_1720,0.0
1er lot_16F,0.0
1er lot_1695,0.0
1er lot_1206,0.0
1er lot_1203,0.0
1er lot_1202,0.0
1er lot_1201,0.0
1er lot_1200,0.0
1er lot_1199,0.0
1er lot_1853,0.0
1er lot_184,0.0
1er lot_1829,0.0
1er lot_200,0.0
